,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21
96,1.0,346,0.0,0,36005021800,1.0,282,0.0,0,0.967479674796748,119,0.032520325203252036,4
97,0.9943181818181818,1225,0.005681818181818182,7,36005021900,0.9914984059511158,933,0.008501594048884165,8,0.9902912621359223,408,0.009708737864077669,4
98,0.9868852459016394,301,0.013114754098360656,4,36005022000,1.0,228,0.0,0,1.0,85,0.0,0
99,0.9882005899705014,670,0.011799410029498525,8,36005022200,1.0,541,0.0,0,1.0,259,0.0,0
100,0.9866236162361623,2139,0.013376383763837638,29,36005022403,0.987811955890888,1702,0.012188044109112013,21,0.9859719438877755,984,0.014028056112224449,14
101,1.0,494,0.0,0,36005022500,0.9913793103448276,460,0.008620689655172414,4,0.9796954314720813,193,0.02030456852791878,4
102,1.0,405,0.0,0,36005022701,1.0,400,0.0,0,1.0,114,0.0,0
103,1.0,631,0.0,0,36005022702,0.9909706546275395,439,0.009029345372460496,4,0.9811320754716981,208,0.018867924528301886,4
104,0.988950276243094,716,0.011049723756906077,8,36005022901,0.986644407345576,591,0.01335559265442404,8,0.976878612716763,169,0.023121387283236993,4
105,0.9946808510638298,748,0.005319148936170213,4,36005022902,0.9927927927927928,551,0.007207207207207207,4,0.9789473684210527,372,0.021052631578947368,8
106,0.9724137931034482,141,0.027586206896551724,4,36005023100,1.0,161,0.0,0,1.0,115,0.0,0
107,0.9342445511636498,2529,0.0657554488363502,178,36005023200,0.939261114589856,4500,0.06073888541014402,291,0.9230769230769231,564,0.07692307692307693,47
108,1.0,17,0.0,0,36005023301,1.0,16,0.0,0,1.0,10,0.0,0
109,1.0,305,0.0,0,36005023600,1.0,312,0.0,0,0.9731543624161074,145,0.026845637583892617,4
110,1.0,237,0.0,0,36005023900,1.0,144,0.0,0,1.0,127,0.0,0
111,0.9929824561403509,566,0.007017543859649123,4,36005024100,0.9752747252747253,355,0.024725274725274724,9,0.9767441860465116,168,0.023255813953488372,4
112,0.9777777777777777,176,0.022222222222222223,4,36005024300,1.0,158,0.0,0,1.0,59,0.0,0
113,0.9806763285024155,203,0.01932367149758454,4,36005024501,1.0,186,0.0,0,0.9340659340659341,85,0.06593406593406594,6
114,0.8077273318589827,6209,0.1922726681410173,1478,36005024700,0.7503974562798092,2360,0.24960254372019078,785,0.9278996865203761,2072,0.07210031347962383,161
115,1.0,153,0.0,0,36005024800,1.0,144,0.0,0,1.0,67,0.0,0
116,0.9912854030501089,455,0.008714596949891068,4,36005024900,0.9875389408099688,317,0.012461059190031152,4,1.0,8,0.0,0
117,0.9792221630261055,5514,0.02077783697389451,117,36005025100,0.9771241830065359,1495,0.02287581699346405,35,0.9913793103448276,575,0.008620689655172414,5
