,tract_id,mar_19,mar_20,mar_21,20_19,21_20,nor_20_19,nor_21_20
38,36005009200,1081,1040,634,-41,-406,-0.037927844588344126,-0.3903846153846154
39,36005009300,2325,2264,1477,-61,-787,-0.026236559139784947,-0.3476148409893993
40,36005009600,424,434,309,10,-125,0.02358490566037736,-0.2880184331797235
41,36005011000,3271,2218,1778,-1053,-440,-0.32191990217059,-0.19837691614066727
42,36005011502,2583,1681,1040,-902,-641,-0.3492063492063492,-0.3813206424747174
43,36005011700,10019,9787,6863,-232,-2924,-0.02315600359317297,-0.2987636660876673
44,36005011800,262,242,397,-20,155,-0.07633587786259542,0.640495867768595
45,36005011900,3860,2787,1990,-1073,-797,-0.277979274611399,-0.28597057768209544
46,36005012300,949,899,485,-50,-414,-0.05268703898840885,-0.46051167964404893
47,36005012500,64,53,12,-11,-41,-0.171875,-0.7735849056603774
48,36005012701,13015,667,200,-12348,-467,-0.9487514406454092,-0.7001499250374813
49,36005012901,1257,718,286,-539,-432,-0.42879872712808276,-0.6016713091922006
50,36005013100,2833,1709,979,-1124,-730,-0.3967525591246029,-0.42715038033937974
51,36005013200,379,257,184,-122,-73,-0.32189973614775724,-0.2840466926070039
52,36005013500,1875,1389,786,-486,-603,-0.2592,-0.43412526997840173
53,36005013800,1679,6714,637,5035,-6077,2.998808814770697,-0.9051236222817992
54,36005014100,3342,2687,1800,-655,-887,-0.1959904248952723,-0.3301079270561965
55,36005014500,71340,59753,88694,-11587,28941,-0.16241940005606953,0.48434388231553227
56,36005014701,958,626,307,-332,-319,-0.3465553235908142,-0.5095846645367412
57,36005014702,2270,1802,984,-468,-818,-0.20616740088105726,-0.45394006659267483
58,36005014900,867,685,350,-182,-335,-0.209919261822376,-0.48905109489051096
59,36005015200,806,564,307,-242,-257,-0.3002481389578164,-0.45567375886524825
60,36005015300,468,396,156,-72,-240,-0.15384615384615385,-0.6060606060606061
61,36005015700,1727,1127,898,-600,-229,-0.3474232773595831,-0.20319432120674358
62,36005015900,13,24,9,11,-15,0.8461538461538461,-0.625
63,36005016100,4852,2947,1758,-1905,-1189,-0.39262159934047813,-0.4034611469290804
64,36005016300,4459,3022,1892,-1437,-1130,-0.32226956716752636,-0.3739245532759762
65,36005016500,2275,1597,1125,-678,-472,-0.298021978021978,-0.29555416405760804
66,36005016600,491,274,291,-217,17,-0.4419551934826884,0.06204379562043796
67,36005016700,210,177,82,-33,-95,-0.15714285714285714,-0.536723163841808
68,36005016900,1804,985,521,-819,-464,-0.4539911308203991,-0.47106598984771575
69,36005017100,613,941,511,328,-430,0.5350734094616639,-0.4569606801275239
70,36005017300,1291,1299,661,8,-638,0.006196746707978312,-0.4911470361816782
71,36005017500,1637,1040,530,-597,-510,-0.36469150885766644,-0.49038461538461536
72,36005017702,372,270,132,-102,-138,-0.27419354838709675,-0.5111111111111111
73,36005017902,1989,1421,679,-568,-742,-0.28557063851181497,-0.5221674876847291
74,36005018102,1848,1379,184,-469,-1195,-0.2537878787878788,-0.8665699782451052
75,36005018301,11,3,4,-8,1,-0.7272727272727273,0.3333333333333333
76,36005018400,1189,1403,1000,214,-403,0.17998317914213624,-0.2872416250890948
77,36005018500,4146,3397,1850,-749,-1547,-0.18065605402797877,-0.45540182513982924
78,36005018900,986,749,385,-237,-364,-0.24036511156186613,-0.48598130841121495
