tract_id,raw_visit_counts
36047040500,355
36047040800,1
36047041000,69
36047041200,5
36047041401,1108
36047041402,213
36047041500,26
36047041700,629
36047041800,31974
36047042300,603
36047042800,1125
36047042900,62753
36047043000,3088
36047043200,669
36047043300,842
36047043500,605
36047043700,644
36047043800,597
36047044000,71
36047044100,272
36047044200,8
36047044300,341
36047044400,113
36047044500,448
36047044700,106
36047044800,71
36047044900,1796
36047045300,90
36047045600,95
36047046000,1611
36047046202,5
36047046800,636
36047047600,9
36047048500,892
36047049000,16
36047049200,385
36047049400,86
36047049500,8
36047049900,282
36047050000,773
36047050100,250
36047050202,77
36047050300,178
36047050600,605
36047050803,244
36047051001,1682
36047051002,313
36047051100,36
36047051200,270
36047051300,195
36047051400,513
36047051500,1185
36047051700,196
36047051900,9
36047052000,33
36047052300,446
36047052500,23271
36047052700,369
36047052900,176
36047053100,162
36047053400,96
36047053500,178
36047053700,291
36047053800,3016
36047053900,25
36047054200,25
36047054300,1508
36047054600,1236
36047054700,120
36047054900,81
36047055100,243
36047055300,512
36047055400,732
36047055500,986
36047055600,1327
36047055700,442
36047056100,122
36047056200,270
36047056300,663
36047056400,240
36047056500,149
36047056900,192
36047057000,653
36047057100,14
36047057300,18
36047057400,498
36047057800,111
36047057900,1164
36047058000,215
36047058200,16
36047058800,579
36047058900,141
36047059000,291
36047059100,21709
36047059300,55
36047059401,1610
36047060000,890
36047060600,1064
36047060800,31769
36047061002,947
36047061004,381
36047061200,2065
36047061600,3920
36047062600,649
36047063200,405
36047064600,479
36047065800,5
36047066000,203
36047066600,9145
36047067200,6304
36047068600,414
36047069000,5
36047069601,386
36047069602,1406
36047069800,1041
36047070000,19
36047070201,1421
36047070202,152
36047070600,1439
36047073400,9081
36047074600,679
36047074800,690
36047076800,262
36047077200,1301
36047077400,4
36047077600,2
36047078200,1363
36047078600,186
36047078800,1585
36047079400,2
36047079802,514
36047080000,30
36047080200,400
36047080400,788
36047080800,1132
36047081400,748
36047081600,257
36047082400,2313
36047082800,757
36047083000,245
36047083600,253
36047083800,376
36047084000,392
36047084800,1
36047086000,5
36047087800,6
36047088200,212
36047089000,4052
36047089200,176
36047090000,808
36047090200,217
36047090800,899
36047091000,273
36047091200,1564
36047091800,250
36047092000,96
36047092400,1777
36047093400,209
36047094401,95
36047094600,578
36047095000,62
36047095600,681
36047095800,51
36047096000,699
36047096400,731
36047096800,1
36047097400,1106
36047098400,103
36047098600,545
36047098800,613
36047099000,165
36047099800,2885
36047102800,14600
36047103400,25
36047105801,3897
36047105804,1560
36047107000,4291
36047107800,1253
36047110400,1591
36047111600,612
36047111800,719
36047112000,661
36047112400,128
36047114201,1207
36047114400,34152
36047115600,174
36047115800,133
36047116000,700
36047116200,324
36047116400,480
36047116800,284
36047117000,22
36047117601,356
36047117800,608
36047118000,75
36047118201,676
36047118800,580
36047119000,64
36047119200,276
36047119600,49442
36047121000,4779
36047122000,1377
36047123700,233
36047150200,504
36055012306,3
36059301900,183
36061000100,4261
36061000201,5632
36061000202,10579
36061000500,1460
36061000600,14985
36061000700,39797
36061000800,17746
36061000900,62498
36061001001,1615
36061001002,5516
36061001200,4649
36061001300,80695
36061001401,44212
36061001402,10653
36061001501,33512
36061001502,45131
36061001600,19483
36061001800,24552
36061002000,3237
36061002100,47271
36061002201,12968
36061002202,4029
36061002400,2949
36061002500,6391
36061002601,5157
36061002602,5629
36061002700,42442
36061002800,8405
36061002900,157110
36061003001,10623
36061003002,4449
36061003100,183035
36061003200,19546
36061003300,36055
36061003400,16605
36061003601,6065
36061003602,6648
36061003700,29162
36061003800,17230
36061003900,23491
36061004000,12987
36061004100,27586
36061004200,14223
36061004300,14090
36061004400,12650
36061004500,13162
36061004700,12945
36061004800,18855
36061004900,15794
36061005000,28566
36061005200,49165
36061005400,21031
36061005501,16052
36061005502,12214
36061005600,24960
36061005700,13623
36061005800,31405
36061005900,10484
36061006000,3094
36061006100,22270
36061006200,49247
36061006300,18125
36061006400,18727
36061006500,74725
36061006600,17247
36061006700,12457
36061006800,27392
36061006900,7233
36061007000,13314
36061007100,11831
36061007200,19640
36061007300,9716
36061007400,36530
36061007500,13228
36061007600,45058
36061007700,14763
36061007800,13693
36061007900,15695
36061008000,28006
36061008100,24739
36061008200,29242
36061008300,25003
36061008400,38933
36061008601,7395
36061008602,3765
36061008603,5237
36061008700,11731
36061008800,20074
36061008900,10890
36061009000,24949
36061009100,22871
36061009200,69842
36061009300,10024
36061009400,35699
36061009500,29384
36061009600,49692
36061009700,75893
36061009800,22433
36061009900,71231
36061010000,41574
36061010100,101787
36061010200,34990
36061010300,31561
36061010400,58090
36061010601,17070
36061010602,8848
36061010800,25432
36061010900,51919
36061011000,16568
36061011100,32034
36061011201,19854
36061011202,17718
36061011203,13750
36061011300,81931
36061011401,14011
36061011402,15329
36061011500,53169
36061011600,81457
36061011700,10820
36061011800,42548
36061011900,81706
36061012000,22018
36061012100,39312
36061012200,10480
36061012400,23874
36061012500,76016
36061012600,19692
36061012700,30614
36061012800,15430
36061012900,28285
36061013000,11529
36061013100,59588
36061013200,17756
36061013300,17813
36061013400,17598
36061013500,24528
36061013600,14801
36061013700,69194
36061013800,14446
36061013900,23354
36061014000,15728
36061014200,14176
36061014300,266173
36061014401,4463
36061014402,7726
36061014500,38602
36061014601,9809
36061014602,12565
36061014700,8581
36061014801,9993
36061014802,22702
36061014900,18401
36061015001,4847
36061015002,8294
36061015100,22245
36061015200,13734
36061015300,18934
36061015400,74971
36061015500,10884
36061015601,8528
36061015602,11281
36061015700,14473
36061015801,8673
36061015802,4880
36061015900,15901
36061016001,7474
36061016002,7231
36061016100,8564
36061016200,11098
36061016300,12581
36061016400,9643
36061016500,27538
36061016600,13815
36061016700,10664
36061016800,31824
36061016900,11306
36061017000,16094
36061017100,10160
36061017200,18431
36061017300,12589
36061017401,7698
36061017402,2550
36061017500,9770
36061017700,14955
36061017800,24738
36061017900,11047
36061018000,8289
36061018100,11465
36061018200,15102
36061018300,15248
36061018400,12027
36061018500,9698
36061018600,10743
36061018700,8625
36061018800,11147
36061018900,12940
36061019000,10127
36061019100,10928
36061019200,6473
36061019300,9642
36061019400,11811
36061019500,31155
36061019600,24634
36061019701,3945
36061019702,2868
36061019800,9358
36061019900,12968
36061020000,12127
36061020101,5280
36061020102,4557
36061020300,15910
36061020500,10176
36061020600,6927
36061020701,2937
36061020800,8382
36061020901,11949
36061021000,4407
36061021100,11598
36061021200,18118
36061021303,8006
36061021400,4778
36061021500,6946
36061021600,12091
36061021703,12586
36061021800,24292
36061021900,17296
36061022000,10219
36061022102,5202
36061022200,26978
36061022301,11198
36061022302,3277
36061022400,11337
36061022500,18005
