,tract_id,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts
time,,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21
category,,Accomodation,Education,Financial Activities,Food,Goods Production,Health Care,Other,Professional and Business Services,Real Estate,Recreation,Transportation,Wholesale and Retail,Accomodation,Education,Financial Activities,Food,Goods Production,Health Care,Other,Professional and Business Services,Real Estate,Recreation,Transportation,Wholesale and Retail,Accomodation,Education,Financial Activities,Food,Goods Production,Health Care,Other,Professional and Business Services,Real Estate,Recreation,Transportation,Wholesale and Retail
34,36005007900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3806.0,0.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2326.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,0.0,582.0
35,36005008300,0.0,65.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36005008700,0.0,0.0,0.0,1480.0,0.0,0.0,0.0,0.0,0.0,2277.0,0.0,0.0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,0.0,1782.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,1143.0,0.0,0.0
37,36005009000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,1601.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,0.0,2826.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,1492.0,0.0,65.0
38,36005009200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,0.0,0.0
39,36005009300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1542.0,0.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.0,0.0,403.0
40,36005009600,0.0,0.0,0.0,71.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0
41,36005011000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778.0,0.0,0.0
42,36005011502,0.0,0.0,0.0,1210.0,0.0,0.0,0.0,0.0,0.0,843.0,0.0,530.0,0.0,0.0,0.0,868.0,0.0,0.0,0.0,0.0,0.0,568.0,0.0,245.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,137.0
43,36005011700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,9596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,6608.0
