,MedRent,tract_id,pctWhite,pctBlack,pctIndian,pctAsian,pctVacant,pctBachelors,pctPoverty,high_low_perct_20_19,high_low_perct_21_20
1152,1366,36081026902,0.1863214185195609,0.0123839009287925,0.0,0.4973262032085561,0.1761517615176151,0.0016887137630171,0.1486068111455108,-0.25,0.3333333333333333
1153,1526,36081016900,0.6737638571177195,0.0283301073376737,0.0,0.228224529297906,0.0529237601776461,0.0022875241949674,0.0631708604610241,-0.20540540540540542,-inf
1154,-666666666,36081017100,0.675,0.25,0.0,0.325,0.0,0.0,0.225,0.2673469387755102,0.031914893617021274
1155,895,36047116000,0.1174438687392055,0.7694300518134715,0.0043177892918825,0.0,0.0948191593352883,0.0043177892918825,0.2003454231433506,0.7952755905511811,-0.45544554455445546
1156,1300,36047119200,0.2754045307443366,0.4508090614886731,0.003883495145631,0.0355987055016181,0.205110007097232,0.0029126213592233,0.2016181229773462,-0.3025210084033613,-0.40963855421686746
1157,1486,36047023400,0.9709663120567376,0.0028812056737588,0.0033244680851063,0.0022163120567375,0.2067796610169491,0.0110815602836879,0.4352836879432624,0.0,-0.015625
1158,1317,36047081400,0.0209764918625678,0.9291139240506328,0.0,0.0354430379746835,0.0915492957746478,0.0021699819168173,0.1902350813743218,-0.27157894736842103,-inf
1159,1576,36047000100,0.7194743130227002,0.1541218637992831,0.0081242532855436,0.0915173237753882,0.0746987951807229,0.0069295101553166,0.087216248506571,-0.34408602150537637,-0.07377049180327869
1160,1992,36047000301,0.9085683000273748,0.0314809745414727,0.0,0.0599507254311524,0.1402757964812173,0.0136873802354229,0.1272926361894333,-0.22058823529411764,-0.32075471698113206
1161,2374,36047004900,0.7859103385178408,0.1838975297346752,0.0,0.096523330283623,0.0757575757575757,0.0091491308325709,0.071363220494053,-inf,-0.14545454545454545
1162,1704,36047006000,0.6883735705209657,0.0,0.0069885641677255,0.1499364675984752,0.1371237458193979,0.0206480304955527,0.0886277001270648,-inf,1.2058823529411764
1163,2421,36047006700,0.8823983530622749,0.0213587236232629,0.0051466803911477,0.0311374163664436,0.0555196901226597,0.0092640247040658,0.0360267627380339,-0.7055214723926381,0.20833333333333334
1164,1225,36047011400,0.7217115689381933,0.094770206022187,0.0,0.3610142630744849,0.1927303465765004,0.007606973058637,0.3980982567353407,-0.275,0.8620689655172413
1165,2290,36047013300,0.7503367759317467,0.0529860799281544,0.0026942074539739,0.1003592276605298,0.0450211864406779,0.0049393803322855,0.0395150426582846,0.536231884057971,0.1891891891891892
1166,2221,36047015500,0.8206862008514901,0.0803906836964688,0.0085149010768845,0.024793388429752,0.0567073170731707,0.0155271725519659,0.032556974705735,-0.6,-0.45
1167,1342,36047017400,0.5203103605659516,0.0,0.0045641259698767,0.3500684618895481,0.0658761528326745,0.0050205385668644,0.0575079872204472,0.27335640138408307,-0.2826086956521739
1168,1390,36047022000,0.8331934536298783,0.053713806126731,0.0,0.0621065883340327,0.0910482019892884,0.0079731430969366,0.5816198069660092,-0.19672131147540983,-inf
1169,1285,36047022100,0.461582081088744,0.5188545506095832,0.0,0.0552877799829883,0.1170568561872909,0.0552877799829883,0.2991210660618089,-0.25870646766169153,-0.38926174496644295
1170,1393,36047023600,0.931699405298252,0.0,0.0081095692917642,0.0373040187421157,0.0987124463519313,0.0066678680843395,0.566408361867003,0.0,-0.48299319727891155
1171,1435,36081059800,0.0172991071428571,0.9112723214285714,0.0,0.0,0.0418060200668896,0.0050223214285714,0.0362723214285714,-0.20833333333333334,-0.3473684210526316
1172,1338,36081062500,0.9276928811032428,0.0391352963101006,0.0,0.0029817368617219,0.0730688935281837,0.013790532985464,0.0495713753261274,0.15753424657534246,-0.1893491124260355
