tract_id,raw_visit_counts
36047012901,141
36047012902,56
36047013100,38
36047013200,2235
36047013300,318
36047013400,97
36047013500,2998
36047013600,191
36047013700,62
36047013800,42
36047013900,178
36047014100,536
36047014200,1124
36047014300,611
36047014700,1152
36047014800,2770
36047014900,1011
36047015000,21
36047015200,2537
36047015300,2505
36047015400,2882
36047015500,171
36047015900,7977
36047016000,495
36047016200,563
36047016400,1074
36047016700,4
36047016900,263
36047017000,11
36047017400,876
36047017700,28638
36047017900,652
36047019100,3280
36047019300,1601
36047019500,132
36047019700,1185
36047020700,112
36047021000,10
36047021100,2766
36047021300,1767
36047021400,16
36047021500,226
36047021700,60
36047021900,22
36047022000,149
36047022100,792
36047022200,2
36047022600,11
36047022700,631
36047023200,467
36047023300,110
36047023400,168
36047023600,431
36047024100,390
36047024200,146
36047024300,291
36047024400,8
36047024500,682
36047024800,639
36047024900,911
36047025000,1636
36047025300,508
36047025400,1
36047025600,135
36047025700,1814
36047025901,447
36047026000,314
36047026100,460
36047026200,1635
36047026300,767
36047026700,87
36047027100,1584
36047027300,320
36047027500,251
36047027600,265
36047027800,1087
36047027900,537
36047028100,823
36047028300,1105
36047028700,224
36047028800,20
36047028900,1371
36047029300,1730
36047029600,53
36047029700,1689
36047029800,343
36047030000,4290
36047030100,430
36047030200,353
36047030300,1968
36047030400,5668
36047030500,260
36047030600,239
36047030700,382
36047030800,768
36047031400,3024
36047031500,335
36047031701,333
36047031900,6136
36047032100,7723
36047032600,801
36047032800,515
36047032900,168
36047033600,783
36047033900,427
36047034000,1358
36047034200,2165
36047034300,978
36047034500,6
36047034900,4
36047035100,4903
36047035200,2018
36047035300,940
36047035400,1298
36047035700,3474
36047036001,2
36047036100,2920
36047036200,89
36047036300,1980
36047036400,530
36047036501,350
36047036700,13321
36047036900,1243
36047037000,1508
36047037100,1495
36047037402,1623
36047037500,124
36047037700,280
36047038100,237
36047038200,1296
36047038300,369
36047038500,322
36047038600,685
36047038700,5
36047038800,1990
36047038900,1540
36047039300,1075
36047039500,783
36047039700,2001
36047039800,33
36047040100,144
36047040200,1926
36047040500,549
36047041000,71
36047041200,4
36047041401,1624
36047041402,290
36047041500,5
36047041700,1263
36047041800,26196
36047042300,846
36047042800,1262
36047042900,23263
36047043000,3108
36047043200,733
36047043300,1659
36047043500,892
36047043700,876
36047043800,759
36047044000,63
36047044100,424
36047044200,1
36047044300,454
36047044400,96
36047044500,629
36047044700,176
36047044800,53
36047044900,2355
36047045300,150
36047045600,105
36047046000,2525
36047046202,8
36047046800,788
36047047600,40
36047048400,12
36047048500,1398
36047049000,62
36047049100,1
36047049200,184
36047049400,18
36047049500,13
36047049900,434
36047050000,1061
36047050100,590
36047050202,101
36047050300,78
36047050600,984
36047050803,373
36047051001,2676
36047051002,491
36047051100,52
36047051200,747
36047051300,298
36047051400,1114
36047051500,1090
36047051700,363
36047051900,15
36047052000,71
36047052300,493
36047052500,14734
36047052700,2755
36047052900,549
36047053100,301
36047053400,120
36047053500,321
36047053700,518
36047053800,4124
36047053900,29
36047054200,34
36047054300,2110
36047054600,1371
36047054700,269
36047054900,335
36047055100,664
36047055300,889
36047055400,1728
36047055500,2669
36047055600,1610
36047055700,724
36047056100,143
36047056200,430
36047056300,953
36047056400,335
36047056500,126
36047056900,305
36047057000,1021
36047057100,60
36047057300,24
36047057400,443
36047057900,1461
36047058000,387
36047058200,16
36047058800,773
36047058900,220
36047059000,433
36047059100,14929
36047059200,7
36047059300,58
36047059401,1498
36047060000,1001
36047060600,1406
36047060800,30221
36047061002,796
36047061004,627
36047061200,2250
36047061600,5058
36047062600,743
36047063200,246
36047064600,713
36047065800,5
36047066000,200
36047066600,9215
36047067200,3809
36047068600,402
36047069000,3
36047069601,465
36047069602,1254
36047069800,2519
36047070000,21
36047070201,2642
36047070202,384
36047070600,1629
36047073400,2910
36047074600,794
36047074800,1009
36047076800,371
36047077200,1476
36047077400,3
36047077600,13
36047078200,1983
36047078600,340
36047078800,3525
36047079802,837
36047080000,87
36047080200,855
36047080400,1327
36047080800,1022
36047081400,1157
36047081600,479
36047082400,11997
36047082800,1072
36047083000,343
36047083600,477
36047083800,605
36047084000,604
36047084800,13
36047086000,5
36047088200,347
36047088800,1
36047089000,6541
36047089200,242
36047090000,864
36047090200,136
36047090800,1683
36047091000,387
36047091200,2354
36047091800,448
36047092000,163
36047092400,3203
36047093400,256
36047094401,270
36047094600,834
36047095000,89
36047095600,1021
36047095800,54
36047096000,608
36047096400,1059
36047096800,162
36047097400,1640
36047098400,244
36047098600,848
36047098800,1129
36047099000,198
36047099800,4619
36047102800,22480
36047103400,27
36047105801,4432
36047105804,2380
36047107000,5556
36047107800,1533
36047110400,3401
36047111600,331
36047111800,1017
36047112000,1390
36047112400,346
36047114201,1806
36047114400,33894
36047115600,1
36047115800,158
36047116000,1221
36047116200,358
36047116400,784
36047116800,433
36047117000,33
36047117601,523
36047117800,953
36047118000,137
36047118201,1044
36047118800,482
36047119000,94
36047119200,363
36047119600,45159
36047121000,1985
36047122000,1801
36047123700,358
36047150200,844
36055012306,70
36059301900,327
36061000100,14609
36061000201,8345
36061000202,12236
36061000500,2272
36061000600,27033
