,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21,income_high_20_19,income_high_21_20,income_low_20_19,income_low_21_20,income_high_low_19,income_high_low_20,income_high_low_21,high_low_perct_20_19,high_low_perct_21_20
36,0.71880651,795,0.28119349,311,36005008700,0.735688185,604,0.264311815,217,0.694570136,307,0.305429864,135,-0.240251572,-0.491721854,-0.433179724,-0.377880184,484,387,172,0.192928151,-0.11384167
37,0.6376,797,0.3624,453,36005009000,0.617142857,1188,0.382857143,737,0.675397568,722,0.324602432,347,0.490589711,-0.392255892,0.385345997,-0.52917232,344,451,375,0.105243714,0.136916428
38,0.684210526,247,0.315789474,114,36005009200,0.732227488,309,0.267772512,113,0.690607735,125,0.309392265,56,0.251012146,-0.595469256,-0.008849558,-0.504424779,133,196,69,0.259861703,-0.091044477
39,0.719599428,503,0.280400572,196,36005009300,0.687568757,625,0.312431243,284,0.591208791,269,0.408791209,186,0.242544732,-0.5696,0.309859155,-0.345070423,307,341,83,-0.067314423,-0.224529577
40,0.60952381,64,0.39047619,41,36005009600,0.59602649,90,0.40397351,61,0.745762712,88,0.254237288,30,0.40625,-0.022222222,0.327868852,-0.508196721,23,29,58,0.078381148,0.485974499
41,0.644303797,509,0.355696203,281,36005011000,0.626151013,340,0.373848987,203,0.66062603,401,0.33937397,206,-0.332023576,0.179411765,-0.384236453,0.014778325,228,137,195,0.052212878,0.16463344
42,0.519327731,309,0.480672269,286,36005011502,0.524421594,204,0.475578406,185,0.554517134,178,0.445482866,143,-0.339805825,-0.12745098,-0.545945946,-0.227027027,23,19,35,0.206140121,0.099576047
43,0.540816327,689,0.459183673,585,36005011700,0.506013746,589,0.493986254,575,0.468646865,284,0.531353135,322,-0.145137881,-0.517826825,-0.017391304,-0.44,104,14,-38,-0.127746577,-0.077826825
44,0.654761905,55,0.345238095,29,36005011800,0.774647887,55,0.225352113,16,0.748091603,98,0.251908397,33,0,0.781818182,-0.8125,1.0625,26,39,65,0.8125,-0.280681818
45,0.709951456,1170,0.290048544,478,36005011900,0.676211454,921,0.323788546,441,0.691156463,508,0.308843537,227,-0.212820513,-0.448425624,-0.083900227,-0.485260771,692,480,281,-0.128920286,0.036835147
46,0.813148789,235,0.186851211,54,36005012300,0.693989071,254,0.306010929,112,0.621621622,115,0.378378378,70,0.080851064,-0.547244094,0.517857143,-0.375,181,142,45,-0.437006079,-0.172244094
47,0.478799739,1468,0.521200261,1598,36005012701,0.678756477,131,0.321243523,62,0.741935484,46,0.258064516,16,-0.910762943,-0.648854962,-24.77419355,-0.741935484,-130,69,30,23.86343061,0.093080522
48,0.748091603,196,0.251908397,66,36005012901,0.744493392,169,0.255506608,58,0.663461538,69,0.336538462,35,-0.137755102,-0.591715976,-0.137931034,-0.396551724,130,111,34,0.000175932,-0.195164252
49,0.699319728,514,0.300680272,221,36005013100,0.705882353,408,0.294117647,170,0.647577093,147,0.352422907,80,-0.206225681,-0.639705882,-0.3,-0.529411765,293,238,67,0.093774319,-0.110294118
50,0.588235294,40,0.411764706,28,36005013200,0.619047619,52,0.380952381,32,0.75,54,0.25,18,0.3,0.038461538,0.125,-0.4375,12,20,36,0.175,0.475961538
51,0.64037123,276,0.35962877,155,36005013500,0.628635347,281,0.371364653,166,0.586956522,108,0.413043478,76,0.018115942,-0.615658363,0.06626506,-0.542168675,121,115,32,-0.048149118,-0.073489688
52,0.437086093,198,0.562913907,255,36005013800,0.298128342,446,0.701871658,1050,0.510752688,95,0.489247312,91,1.252525253,-0.786995516,0.757142857,-0.913333333,-57,-604,4,0.495382395,0.126337818
53,0.771573604,760,0.228426396,225,36005014100,0.749744637,734,0.250255363,245,0.775374376,466,0.224625624,135,-0.034210526,-0.365122616,0.081632653,-0.448979592,535,489,331,-0.115843179,0.083856976
54,0.576128093,9895,0.423871907,7280,36005014500,0.635095727,10018,0.364904273,5756,0.638829318,5064,0.361170682,2863,0.01243052,-0.494509882,-0.264767199,-0.502605976,2615,4262,2201,0.27719772,0.008096094
55,0.632183908,220,0.367816092,128,36005014701,0.747787611,169,0.252212389,57,0.86440678,51,0.13559322,8,-0.231818182,-0.698224852,-1.245614035,-0.859649123,92,112,43,1.013795853,0.161424271
56,0.81871345,560,0.18128655,124,36005014702,0.766778523,457,0.233221477,139,0.765957447,216,0.234042553,66,-0.183928571,-0.527352298,0.107913669,-0.525179856,436,318,150,-0.29184224,-0.002172441
57,0.761904762,240,0.238095238,75,36005014900,0.735042735,172,0.264957265,62,0.772727273,68,0.227272727,20,-0.283333333,-0.604651163,-0.209677419,-0.677419355,165,110,48,-0.073655914,0.072768192
58,0.647482014,90,0.352517986,49,36005015200,0.647058824,77,0.352941176,42,0.734042553,69,0.265957447,25,-0.144444444,-0.103896104,-0.166666667,-0.404761905,41,35,44,0.022222222,0.300865801
59,0.708333333,119,0.291666667,49,36005015300,0.75,90,0.25,30,0.657142857,46,0.342857143,24,-0.243697479,-0.488888889,-0.633333333,-0.2,70,60,22,0.389635854,-0.288888889
60,0.705882353,288,0.294117647,120,36005015700,0.700598802,234,0.299401198,100,0.766917293,204,0.233082707,62,-0.1875,-0.128205128,-0.2,-0.38,168,134,142,0.0125,0.251794872
61,0,0,1,4,36005015900,1,8,0,0,0.5,4,0.5,4,inf,-0.5,#NAME?,inf,-4,8,0,inf,#NAME?
62,0.68503937,1218,0.31496063,560,36005016100,0.717929482,957,0.282070518,376,0.687837838,509,0.312162162,231,-0.214285714,-0.468129572,-0.489361702,-0.385638298,658,581,278,0.275075988,-0.082491274
63,0.583154889,817,0.416845111,584,36005016300,0.595340811,690,0.404659189,469,0.614121511,374,0.385878489,235,-0.155446756,-0.457971014,-0.245202559,-0.498933902,233,221,139,0.089755802,0.040962887
64,0.65840708,372,0.34159292,193,36005016500,0.66741573,297,0.33258427,148,0.651465798,200,0.348534202,107,-0.201612903,-0.326599327,-0.304054054,-0.277027027,179,149,93,0.102441151,-0.0495723
65,0.548192771,91,0.451807229,75,36005016600,0.510204082,50,0.489795918,48,0.625,60,0.375,36,-0.450549451,0.2,-0.5625,-0.25,16,2,24,0.111950549,0.45
66,0.675675676,50,0.324324324,24,36005016700,0.784615385,51,0.215384615,14,0.714285714,20,0.285714286,8,0.02,-0.607843137,-0.714285714,-0.428571429,26,37,12,0.734285714,-0.179271709
