,raw_visit_counts,raw_visit_counts,raw_visit_counts
time,mar_19,mar_20,mar_21
tract_id,,,
36047003400,1433.0,1401.0,1215.0
36047003700,862.0,278.0,322.0
36047003900,2735.0,1188.0,1064.0
36047004300,690.0,383.0,239.0
36047004500,110.0,80.0,108.0
36047004700,696.0,533.0,352.0
36047004900,480.0,283.0,192.0
36047005300,4454.0,3218.0,2709.0
36047005601,430.0,496.0,541.0
36047005800,1.0,0.0,1.0
36047005900,908.0,688.0,762.0
36047006000,162.0,84.0,138.0
36047006300,2692.0,2229.0,1965.0
36047006400,0.0,4.0,3.0
36047006500,243.0,170.0,119.0
36047006600,173.0,0.0,0.0
36047006700,325.0,118.0,142.0
36047006900,372.0,253.0,76.0
36047007000,13523.0,22878.0,14897.0
36047007200,210.0,230.0,175.0
36047007400,719.0,529.0,262.0
36047007500,201.0,188.0,182.0
36047007600,198.0,127.0,110.0
36047007700,374.0,281.0,256.0
36047008000,4.0,1.0,0.0
36047008200,866.0,543.0,351.0
36047008400,1198.0,821.0,490.0
36047009200,588.0,322.0,257.0
36047009600,1325.0,1181.0,725.0
36047010200,76.0,27.0,37.0
36047010600,10.0,4.0,3.0
36047011200,133.0,122.0,71.0
36047011400,359.0,252.0,407.0
36047011600,1916.0,6028.0,9923.0
36047011700,826.0,719.0,727.0
36047011900,854.0,715.0,732.0
36047012000,1973.0,1138.0,1328.0
36047012100,286.0,241.0,217.0
36047012801,1592.0,1401.0,1123.0
36047012901,141.0,111.0,68.0
36047012902,56.0,0.0,0.0
36047013100,38.0,22.0,13.0
36047013200,2235.0,1747.0,1213.0
36047013300,318.0,117.0,150.0
36047013400,97.0,84.0,42.0
36047013500,2998.0,1943.0,1485.0
36047013600,191.0,111.0,83.0
36047013700,62.0,22.0,28.0
36047013800,42.0,65.0,70.0
36047013900,178.0,68.0,0.0
36047014100,536.0,275.0,0.0
36047014200,1124.0,1001.0,827.0
36047014300,611.0,259.0,212.0
36047014700,1152.0,649.0,277.0
36047014800,2770.0,1184.0,515.0
36047014900,1011.0,631.0,461.0
36047015000,21.0,41.0,13.0
36047015200,2537.0,1342.0,1094.0
36047015300,2505.0,1667.0,950.0
36047015400,2882.0,5165.0,3693.0
36047015500,171.0,119.0,59.0
36047015900,7977.0,9607.0,842.0
36047016000,495.0,461.0,481.0
36047016200,563.0,470.0,334.0
36047016300,0.0,0.0,4.0
36047016400,1074.0,840.0,854.0
36047016700,4.0,2.0,0.0
36047016900,263.0,214.0,153.0
36047017000,11.0,21.0,12.0
36047017400,876.0,955.0,678.0
36047017700,28638.0,31354.0,28454.0
36047017900,652.0,452.0,334.0
36047019100,3280.0,7723.0,21958.0
36047019300,1601.0,1493.0,481.0
36047019500,132.0,80.0,40.0
36047019700,1185.0,781.0,607.0
36047020000,0.0,0.0,12.0
36047020700,112.0,73.0,70.0
36047021000,10.0,6.0,3.0
36047021100,2766.0,1645.0,1117.0
36047021300,1767.0,968.0,477.0
36047021400,16.0,7.0,8.0
36047021500,226.0,174.0,139.0
36047021700,60.0,0.0,0.0
36047021900,22.0,22.0,11.0
36047022000,149.0,102.0,77.0
36047022100,792.0,400.0,306.0
36047022200,2.0,4.0,2.0
36047022600,11.0,35.0,39.0
36047022700,631.0,571.0,280.0
36047023200,467.0,174.0,143.0
36047023300,110.0,224.0,163.0
36047023400,168.0,144.0,111.0
36047023600,431.0,300.0,235.0
36047024100,390.0,234.0,84.0
36047024200,146.0,158.0,110.0
36047024300,291.0,151.0,225.0
36047024400,8.0,12.0,12.0
36047024500,682.0,510.0,297.0
36047024700,0.0,0.0,329.0
36047024800,639.0,505.0,444.0
36047024900,911.0,488.0,66.0
36047025000,1636.0,1250.0,741.0
36047025300,508.0,254.0,169.0
36047025400,1.0,1.0,0.0
36047025600,135.0,413.0,317.0
36047025700,1814.0,828.0,362.0
36047025901,447.0,173.0,204.0
36047026000,314.0,291.0,188.0
36047026100,460.0,264.0,186.0
36047026200,1635.0,989.0,799.0
36047026300,767.0,463.0,489.0
36047026700,87.0,37.0,14.0
36047027100,1584.0,1067.0,605.0
36047027300,320.0,199.0,67.0
36047027500,251.0,180.0,0.0
36047027600,265.0,178.0,153.0
36047027800,1087.0,919.0,702.0
36047027900,537.0,407.0,229.0
36047028100,823.0,624.0,329.0
36047028300,1105.0,856.0,357.0
36047028700,224.0,103.0,65.0
36047028800,20.0,27.0,14.0
36047028900,1371.0,960.0,589.0
36047029300,1730.0,849.0,401.0
36047029600,53.0,124.0,98.0
36047029700,1689.0,1032.0,311.0
36047029800,343.0,0.0,0.0
36047030000,4290.0,1975.0,1885.0
36047030100,430.0,352.0,247.0
36047030200,353.0,301.0,164.0
36047030300,1968.0,1440.0,710.0
36047030400,5668.0,6181.0,3715.0
36047030500,260.0,138.0,69.0
36047030600,239.0,295.0,225.0
36047030700,382.0,385.0,247.0
36047030800,768.0,663.0,550.0
36047031400,3024.0,2799.0,3176.0
36047031500,335.0,230.0,75.0
36047031701,333.0,233.0,107.0
36047031702,0.0,0.0,3.0
36047031900,6136.0,3645.0,2033.0
36047032100,7723.0,10401.0,291.0
36047032600,801.0,823.0,897.0
36047032800,515.0,523.0,338.0
36047032900,168.0,85.0,56.0
36047033600,783.0,561.0,506.0
36047033900,427.0,258.0,238.0
36047034000,1358.0,749.0,465.0
36047034200,2165.0,1436.0,828.0
36047034300,978.0,493.0,261.0
36047034500,6.0,3.0,3.0
36047034900,4.0,4.0,1.0
36047035100,4903.0,2344.0,1267.0
36047035200,2018.0,1625.0,1454.0
36047035300,940.0,489.0,244.0
36047035400,1298.0,1320.0,1554.0
36047035700,3474.0,2096.0,1370.0
36047036001,2.0,0.0,0.0
36047036100,2920.0,1899.0,1247.0
36047036200,89.0,54.0,95.0
36047036300,1980.0,1286.0,817.0
36047036400,530.0,460.0,529.0
36047036501,350.0,124.0,20.0
36047036700,13321.0,6732.0,3393.0
36047036900,1243.0,722.0,454.0
36047037000,1508.0,1130.0,740.0
36047037100,1495.0,1358.0,911.0
36047037402,1623.0,1720.0,1668.0
36047037500,124.0,65.0,72.0
36047037700,280.0,0.0,0.0
36047038100,237.0,81.0,64.0
36047038200,1296.0,911.0,494.0
36047038300,369.0,273.0,166.0
36047038500,322.0,139.0,121.0
36047038600,685.0,792.0,532.0
36047038700,5.0,0.0,1.0
36047038800,1990.0,1080.0,1065.0
36047038900,1540.0,1350.0,903.0
36047039300,1075.0,474.0,451.0
36047039500,783.0,470.0,246.0
36047039700,2001.0,1125.0,688.0
36047039800,33.0,26.0,25.0
36047040100,144.0,113.0,61.0
36047040200,1926.0,1346.0,1169.0
36047040300,0.0,1.0,4.0
36047040500,549.0,355.0,243.0
36047040800,0.0,1.0,0.0
36047041000,71.0,69.0,67.0
36047041200,4.0,5.0,1.0
36047041401,1624.0,1108.0,1015.0
36047041402,290.0,213.0,193.0
36047041500,5.0,26.0,4.0
36047041700,1263.0,629.0,512.0
36047041800,26196.0,31974.0,19663.0
36047042300,846.0,603.0,255.0
36047042800,1262.0,1125.0,892.0
36047042900,23263.0,62753.0,730.0
36047043000,3108.0,3088.0,2456.0
36047043200,733.0,669.0,545.0
36047043300,1659.0,842.0,507.0
36047043500,892.0,605.0,549.0
36047043700,876.0,644.0,459.0
36047043800,759.0,597.0,577.0
36047044000,63.0,71.0,55.0
36047044100,424.0,272.0,161.0
36047044200,1.0,8.0,7.0
36047044300,454.0,341.0,190.0
36047044400,96.0,113.0,84.0
36047044500,629.0,448.0,425.0
36047044700,176.0,106.0,184.0
36047044800,53.0,71.0,30.0
36047044900,2355.0,1796.0,1630.0
36047045300,150.0,90.0,44.0
36047045600,105.0,95.0,224.0
36047046000,2525.0,1611.0,984.0
36047046202,8.0,5.0,1.0
36047046800,788.0,636.0,527.0
36047047600,40.0,9.0,1.0
36047048400,12.0,0.0,0.0
36047048500,1398.0,892.0,514.0
36047049000,62.0,16.0,12.0
36047049100,1.0,0.0,3.0
36047049200,184.0,385.0,96.0
36047049400,18.0,86.0,35.0
36047049500,13.0,8.0,10.0
36047049900,434.0,282.0,208.0
36047050000,1061.0,773.0,1027.0
36047050100,590.0,250.0,263.0
36047050202,101.0,77.0,53.0
36047050300,78.0,178.0,83.0
36047050600,984.0,605.0,390.0
36047050803,373.0,244.0,164.0
36047051001,2676.0,1682.0,899.0
36047051002,491.0,313.0,169.0
36047051100,52.0,36.0,15.0
36047051200,747.0,270.0,296.0
36047051300,298.0,195.0,174.0
36047051400,1114.0,513.0,586.0
36047051500,1090.0,1185.0,1234.0
36047051700,363.0,196.0,208.0
36047051900,15.0,9.0,4.0
36047052000,71.0,33.0,13.0
36047052300,493.0,446.0,436.0
36047052500,14734.0,23271.0,13600.0
36047052700,2755.0,369.0,149.0
36047052900,549.0,176.0,122.0
36047053100,301.0,162.0,196.0
36047053400,120.0,96.0,105.0
36047053500,321.0,178.0,222.0
36047053700,518.0,291.0,350.0
36047053800,4124.0,3016.0,1011.0
36047053900,29.0,25.0,17.0
36047054200,34.0,25.0,28.0
36047054300,2110.0,1508.0,1336.0
36047054600,1371.0,1236.0,844.0
36047054700,269.0,120.0,185.0
36047054900,335.0,81.0,81.0
36047055100,664.0,243.0,261.0
36047055300,889.0,512.0,456.0
36047055400,1728.0,732.0,1310.0
36047055500,2669.0,986.0,1074.0
36047055600,1610.0,1327.0,1283.0
36047055700,724.0,442.0,657.0
36047056100,143.0,122.0,80.0
36047056200,430.0,270.0,305.0
36047056300,953.0,663.0,778.0
36047056400,335.0,240.0,264.0
36047056500,126.0,149.0,87.0
36047056900,305.0,192.0,231.0
36047057000,1021.0,653.0,602.0
36047057100,60.0,14.0,25.0
36047057300,24.0,18.0,23.0
36047057400,443.0,498.0,497.0
36047057800,0.0,111.0,158.0
36047057900,1461.0,1164.0,776.0
36047058000,387.0,215.0,135.0
36047058200,16.0,16.0,0.0
36047058800,773.0,579.0,586.0
36047058900,220.0,141.0,145.0
36047059000,433.0,291.0,176.0
36047059100,14929.0,21709.0,439.0
36047059200,7.0,0.0,0.0
36047059300,58.0,55.0,46.0
36047059401,1498.0,1610.0,1951.0
36047060000,1001.0,890.0,683.0
36047060600,1406.0,1064.0,990.0
36047060800,30221.0,31769.0,22059.0
36047061002,796.0,947.0,693.0
36047061004,627.0,381.0,300.0
36047061200,2250.0,2065.0,2284.0
36047061600,5058.0,3920.0,3757.0
36047062600,743.0,649.0,886.0
36047063200,246.0,405.0,287.0
36047064600,713.0,479.0,211.0
36047065800,5.0,5.0,5.0
36047066000,200.0,203.0,250.0
36047066600,9215.0,9145.0,10271.0
36047067200,3809.0,6304.0,9742.0
36047068600,402.0,414.0,327.0
36047069000,3.0,5.0,1.0
36047069601,465.0,386.0,340.0
36047069602,1254.0,1406.0,671.0
36047069800,2519.0,1041.0,1210.0
36047070000,21.0,19.0,15.0
36047070201,2642.0,1421.0,1835.0
36047070202,384.0,152.0,330.0
36047070600,1629.0,1439.0,2082.0
36047073400,2910.0,9081.0,568.0
36047074600,794.0,679.0,407.0
36047074800,1009.0,690.0,710.0
36047076800,371.0,262.0,155.0
36047077200,1476.0,1301.0,54.0
36047077400,3.0,4.0,0.0
36047077600,13.0,2.0,1.0
36047078200,1983.0,1363.0,916.0
36047078600,340.0,186.0,101.0
36047078800,3525.0,1585.0,1159.0
36047079400,0.0,2.0,17.0
36047079802,837.0,514.0,261.0
36047080000,87.0,30.0,26.0
36047080200,855.0,400.0,258.0
36047080400,1327.0,788.0,657.0
36047080800,1022.0,1132.0,1085.0
36047081400,1157.0,748.0,696.0
36047081600,479.0,257.0,157.0
36047082400,11997.0,2313.0,5092.0
36047082800,1072.0,757.0,479.0
36047083000,343.0,245.0,336.0
36047083600,477.0,253.0,284.0
36047083800,605.0,376.0,309.0
36047084000,604.0,392.0,325.0
36047084800,13.0,1.0,1.0
36047086000,5.0,5.0,1.0
36047087800,0.0,6.0,3.0
36047088200,347.0,212.0,101.0
36047088800,1.0,0.0,0.0
36047089000,6541.0,4052.0,2500.0
36047089200,242.0,176.0,111.0
36047090000,864.0,808.0,349.0
36047090200,136.0,217.0,109.0
36047090800,1683.0,899.0,651.0
36047091000,387.0,273.0,151.0
36047091200,2354.0,1564.0,898.0
36047091800,448.0,250.0,175.0
36047092000,163.0,96.0,75.0
36047092400,3203.0,1777.0,1242.0
36047093400,256.0,209.0,118.0
36047094401,270.0,95.0,58.0
36047094600,834.0,578.0,447.0
36047095000,89.0,62.0,34.0
36047095600,1021.0,681.0,396.0
36047095800,54.0,51.0,34.0
36047096000,608.0,699.0,554.0
36047096400,1059.0,731.0,486.0
36047096800,162.0,1.0,2.0
36047097400,1640.0,1106.0,581.0
36047098400,244.0,103.0,103.0
36047098600,848.0,545.0,278.0
36047098800,1129.0,613.0,318.0
36047099000,198.0,165.0,173.0
36047099800,4619.0,2885.0,2666.0
36047102800,22480.0,14600.0,13977.0
36047103400,27.0,25.0,35.0
36047105801,4432.0,3897.0,2776.0
36047105804,2380.0,1560.0,1093.0
36047107000,5556.0,4291.0,4475.0
36047107800,1533.0,1253.0,811.0
36047110400,3401.0,1591.0,1078.0
36047111600,331.0,612.0,418.0
36047111800,1017.0,719.0,236.0
36047112000,1390.0,661.0,473.0
36047112400,346.0,128.0,104.0
36047114201,1806.0,1207.0,720.0
36047114400,33894.0,34152.0,47331.0
36047115600,1.0,174.0,8.0
36047115800,158.0,133.0,68.0
36047116000,1221.0,700.0,579.0
36047116200,358.0,324.0,257.0
36047116400,784.0,480.0,272.0
36047116800,433.0,284.0,114.0
36047117000,33.0,22.0,6.0
36047117601,523.0,356.0,225.0
36047117800,953.0,608.0,420.0
36047118000,137.0,75.0,61.0
36047118201,1044.0,676.0,423.0
36047118800,482.0,580.0,181.0
36047119000,94.0,64.0,32.0
36047119200,363.0,276.0,182.0
36047119600,45159.0,49442.0,67817.0
36047119800,0.0,0.0,39.0
36047121000,1985.0,4779.0,1365.0
36047122000,1801.0,1377.0,1231.0
36047123700,358.0,233.0,113.0
36047150200,844.0,504.0,390.0
36055012306,70.0,3.0,2.0
36059301900,327.0,183.0,206.0
36061000100,14609.0,4261.0,1429.0
36061000201,8345.0,5632.0,3664.0
36061000202,12236.0,10579.0,5707.0
36061000500,2272.0,1460.0,791.0
36061000600,27033.0,14985.0,11347.0
36061000700,92658.0,39797.0,20046.0
36061000800,31541.0,17746.0,14094.0
36061000900,155607.0,62498.0,26743.0
36061001001,2684.0,1615.0,1451.0
36061001002,9365.0,5516.0,3706.0
36061001200,7451.0,4649.0,3308.0
36061001300,198145.0,80695.0,34184.0
36061001401,11923.0,44212.0,12306.0
36061001402,18197.0,10653.0,6841.0
36061001501,71220.0,33512.0,19300.0
36061001502,98198.0,45131.0,23874.0
36061001600,38446.0,19483.0,15845.0
36061001800,51376.0,24552.0,15914.0
36061002000,4553.0,3237.0,2399.0
36061002100,105304.0,47271.0,19860.0
36061002201,26911.0,12968.0,9251.0
36061002202,6605.0,4029.0,2829.0
36061002400,3264.0,2949.0,1922.0
36061002500,6029.0,6391.0,2146.0
36061002601,7148.0,5157.0,3228.0
36061002602,9235.0,5629.0,3841.0
36061002700,9115.0,42442.0,8750.0
36061002800,19023.0,8405.0,5332.0
36061002900,107436.0,157110.0,24782.0
36061003001,30840.0,10623.0,7620.0
36061003002,8223.0,4449.0,2906.0
36061003100,209756.0,183035.0,72025.0
36061003200,35044.0,19546.0,14164.0
36061003300,81179.0,36055.0,23870.0
36061003400,25006.0,16605.0,11024.0
36061003601,14521.0,6065.0,3824.0
36061003602,15454.0,6648.0,4606.0
36061003700,70510.0,29162.0,19421.0
36061003800,43026.0,17230.0,14508.0
36061003900,53504.0,23491.0,13858.0
36061004000,30556.0,12987.0,10444.0
36061004100,65827.0,27586.0,25014.0
36061004200,29714.0,14223.0,8201.0
36061004300,38931.0,14090.0,10241.0
36061004400,18250.0,12650.0,9516.0
36061004500,37051.0,13162.0,8525.0
36061004700,34893.0,12945.0,13352.0
36061004800,34642.0,18855.0,12453.0
36061004900,48410.0,15794.0,13283.0
36061005000,68972.0,28566.0,11934.0
36061005200,80705.0,49165.0,21740.0
36061005400,58472.0,21031.0,15878.0
36061005501,30903.0,16052.0,8080.0
36061005502,32009.0,12214.0,8998.0
36061005600,61794.0,24960.0,11120.0
36061005700,35770.0,13623.0,6619.0
36061005800,86333.0,31405.0,19635.0
36061005900,22575.0,10484.0,5895.0
36061006000,6223.0,3094.0,2475.0
36061006100,57721.0,22270.0,14240.0
36061006200,63569.0,49247.0,32425.0
36061006300,40418.0,18125.0,11900.0
36061006400,32863.0,18727.0,11131.0
